x, Lorentz(x)
1.120000, 0.121159
1.130000, 0.120643
1.140000, 0.120126
1.150000, 0.119609
1.160000, 0.119092
1.170000, 0.118575
1.180000, 0.118059
1.190000, 0.117542
1.200000, 0.117026
1.210000, 0.116510
1.220000, 0.115994
1.230000, 0.115478
1.240000, 0.114963
1.250000, 0.114448
1.260000, 0.113934
1.270000, 0.113421
1.280000, 0.112908
1.290000, 0.112396
1.300000, 0.111884
1.310000, 0.111373
1.320000, 0.110863
1.330000, 0.110354
1.340000, 0.109845
1.350000, 0.109338
1.360000, 0.108831
1.370000, 0.108326
1.380000, 0.107821
1.390000, 0.107318
1.400000, 0.106815
1.410000, 0.106314
1.420000, 0.105814
1.430000, 0.105315
1.440000, 0.104818
1.450000, 0.104321
1.460000, 0.103826
1.470000, 0.103332
1.480000, 0.102840
1.490000, 0.102349
1.500000, 0.101859
1.510000, 0.101371
1.520000, 0.100884
1.530000, 0.100399
1.540000, 0.099915
1.550000, 0.099433
1.560000, 0.098952
1.570000, 0.098473
1.580000, 0.097996
1.590000, 0.097520
1.600000, 0.097046
1.610000, 0.096573
1.620000, 0.096102
1.630000, 0.095633
1.640000, 0.095166
1.650000, 0.094700
1.660000, 0.094236
1.670000, 0.093774
1.680000, 0.093313
1.690000, 0.092855
1.700000, 0.092398
1.710000, 0.091943
1.720000, 0.091489
1.730000, 0.091038
1.740000, 0.090589
1.750000, 0.090141
